asset_id,locale,display_name,description
888005088,de,Anti-Zecken-Feld,
888005088,es,Campo antigarrapatas,
888005088,fr,Champ anti-tiques,
888005088,it,Campo anti Zecche,
888005088,ja,対チックフィールド,
888005088,ko,틱 제거 필드,
888005088,pl,Pole przeciwkleszczowe,
888005088,pt_br,Proteção Anti-Carrapato,
888005088,ru,Антиклещевое поле,
888005088,tr,Kenesavar Bölge,
888005088,zh_hans,抗跳蚤力场,
888005088,zh_hant,反蜱蟲力場,
365000158,de,Rolle ohne Ballast,
365000158,es,Voltereta ligera,
365000158,fr,Roulade gratuite,
365000158,it,Schivata leggera,
365000158,ja,重荷なき転がり,
365000158,ko,깃털 같은 구르기,
365000158,pl,Odciążający przewrót,
365000158,pt_br,Rolamento de Libertação,
365000158,ru,Легкий перекат,
365000158,tr,Engelsiz Takla,
365000158,zh_hans,轻装翻滚,
365000158,zh_hant,無負擔翻滾,
1789653302,de,An das Gewicht gewöhnt,
1789653302,es,El peso no es nada,
1789653302,fr,Habitude du poids,
1789653302,it,Abitudine al peso,
1789653302,ja,重さへの慣れ,
1789653302,ko,거뜬한 무게,
1789653302,pl,Obciążenie mi niestraszne,
1789653302,pt_br,Peso de Sempre,
1789653302,ru,Не тяжело,
1789653302,tr,Ağırlığa Alışkın,
1789653302,zh_hans,负重如常,
1789653302,zh_hant,慣於負重,
338113108,de,Kleiner Bonus,
338113108,es,Un extra,
338113108,fr,Petit bonus,
338113108,it,Una chicca extra,
338113108,ja,ちょっとオマケ,
338113108,ko,쏠쏠한 부수입,
338113108,pl,Mały dodatek,
338113108,pt_br,Uma Ajudinha,
338113108,ru,Кое-что еще,
338113108,tr,Küçük Bir Ekstra,
338113108,zh_hans,破物生资,
338113108,zh_hant,附贈一點點,
1503534407,de,Geübter Schnüffler,
1503534407,es,Abrepuertas eficiente,
1503534407,fr,Indiscrétion habile,
1503534407,it,Abile ficcanaso,
1503534407,ja,こじ開けの達人,
1503534407,ko,개봉 전문가,
1503534407,pl,Skuteczne otwieranie,
1503534407,pt_br,Mestre da Curiosidade,
1503534407,ru,Мастер по проникновению,
1503534407,tr,Becerikli Dikizci,
1503534407,zh_hans,撬锁大师,
1503534407,zh_hant,撬棍熟手,
2057797492,de,Mit sanftem Druck,
2057797492,es,Toque delicado,
2057797492,fr,Délicatesse,
2057797492,it,Leggera pressione,
2057797492,ja,優しい圧力,
2057797492,ko,부드러운 압박,
2057797492,pl,Delikatny nacisk,
2057797492,pt_br,Pressão Suave,
2057797492,ru,Легкое давление,
2057797492,tr,Hafif Basınç,
2057797492,zh_hans,轻柔施压,
2057797492,zh_hant,輕柔施壓,
-1925074376,de,Ausdauer des Überlebenden,
-1925074376,es,Aguante de superviviente,
-1925074376,fr,Endurance de survivant,
-1925074376,it,Energia da superstite,
-1925074376,ja,サバイバーのスタミナ,
-1925074376,ko,생존자의 기력,
-1925074376,pl,Twardym trzeba być,
-1925074376,pt_br,Vigor de Sobrevivente,
-1925074376,ru,Выносливость выжившего,
-1925074376,tr,Hayatta Kalanın Enerjisi,
-1925074376,zh_hans,求生耐力,
-1925074376,zh_hant,生還者的體力,
114107392,de,Kampf oder Flucht,
114107392,es,Luchar o huir,
114107392,fr,Mode de survie,
114107392,it,Fuggi o combatti,
114107392,ja,闘争・逃走反応,
114107392,ko,생존 본능,
114107392,pl,Walka lub ucieczka,
114107392,pt_br,Lutar ou Fugir,
114107392,ru,Бей или беги,
114107392,tr,Savaş ya da Kaç,
114107392,zh_hans,要么战，要么跑,
114107392,zh_hant,戰或逃,
-1379424521,de,"Entkräftet, aber entschlossen",
-1379424521,es,Firmeza a rastras,
-1379424521,fr,"À terre, mais avec détermination",
-1379424521,it,Crollo ma non mollo,
-1379424521,ja,ダウンしても揺るがぬ覚悟,
-1379424521,ko,꺾이지 않는 마음,
-1379424521,pl,"Leżę, nie kwiczę",
-1379424521,pt_br,Determinação no Chão,
-1379424521,ru,"Повержен, но непреклонен",
-1379424521,tr,Düştü Ama Kararlı,
-1379424521,zh_hans,人倒志不倒,
-1379424521,zh_hant,倒而不潰,
1105715491,de,Notfall-Adrenalin,
1105715491,es,Adrenalina de emergencia,
1105715491,fr,Adrénaline d'urgence,
1105715491,it,Adrenalina d'emergenza,
1105715491,ja,緊急アドレナリン,
1105715491,ko,비상 아드레날린,
1105715491,pl,Awaryjna adrenalina,
1105715491,pt_br,Adrenalina de Emergência,
1105715491,ru,Экстренный укол адреналина,
1105715491,tr,Acil Durum Adrenalini,
1105715491,zh_hans,应急肾上腺素,
1105715491,zh_hant,緊急腎上腺素,
-726496223,de,Notfall-Rauch,
-726496223,es,Humo de emergencia,
-726496223,fr,Fumigène d'urgence,
-726496223,it,Fumo d'emergenza,
-726496223,ja,緊急スモーク,
-726496223,ko,비상 연막,
-726496223,pl,Awaryjny dym,
-726496223,pt_br,Fumaça de Emergência,
-726496223,ru,Экстренная дымовая завеса,
-726496223,tr,Acil Durum Sisi,
-726496223,zh_hans,应急烟幕,
-726496223,zh_hant,緊急煙霧,
576151984,de,Schallgedämpft,
576151984,es,Oídos sordos,
576151984,fr,Audition renforcée,
576151984,it,Creatura delle esplosioni,
576151984,ja,ブラストボーン,
576151984,ko,폭발 내성,
576151984,pl,Głuchy na wybuchy,
576151984,pt_br,Nascido para Explodir,
576151984,ru,Мощный взрыв,
576151984,tr,Patlama Sevdalısı,
576151984,zh_hans,爆鸣抗性,
576151984,zh_hant,習於爆炸,
1582749621,de,Notfall-Venenstauer,
1582749621,es,Torniquete de emergencia,
1582749621,fr,Garrot d'urgence,
1582749621,it,Laccio emostatico d'emergenza,
1582749621,ja,緊急止血帯,
1582749621,ko,비상 지혈대,
1582749621,pl,Awaryjna opacka uciskowa,
1582749621,pt_br,Torniquete de Emergência,
1582749621,ru,Экстренный жгут,
1582749621,tr,Acil Durum Turnikesi,
1582749621,zh_hans,应急止血带,
1582749621,zh_hant,緊急止血帶,
-758926874,de,Wieder auf den Füßen,
-758926874,es,De vuelta al combate,
-758926874,fr,Remise sur pied,
-758926874,it,Di nuovo in piedi,
-758926874,ja,再び立ち上がれ,
-758926874,ko,위기 극복,
-758926874,pl,Jeszcze się trzymam,
-758926874,pt_br,De Volta em Pé,
-758926874,ru,Снова на ногах,
-758926874,tr,Kalk Ayağa,
-758926874,zh_hans,不屈意志,
-758926874,zh_hant,重新站起,
1693686894,de,Gesundheitsregeneration,
1693686894,es,Recuperación de salud,
1693686894,fr,Régénération de santé,
1693686894,it,Rigenerazione salute,
1693686894,ja,リジェネ,
1693686894,ko,체력 회복,
1693686894,pl,Regeneracja zdrowia,
1693686894,pt_br,Regeneração de vida,
1693686894,ru,Восстановление здоровья,
1693686894,tr,Can Yenileme,
1693686894,zh_hans,生命值恢复,
1693686894,zh_hant,生命值自然恢復,
-468568924,de,Gesundheitsregeneration++,
-468568924,es,Recuperación de salud++,
-468568924,fr,Régénération de santé++,
-468568924,it,Rigenerazione salute++,
-468568924,ja,リジェネ++,
-468568924,ko,체력 회복++,
-468568924,pl,Regeneracja zdrowia++,
-468568924,pt_br,Regeneração de vida++,
-468568924,ru,Восстановление здоровья++,
-468568924,tr,Can Yenileme++,
-468568924,zh_hans,生命值恢复++,
-468568924,zh_hant,生命值自然恢復++,
451795054,de,Befreiender Hieb,
451795054,es,Golpe despejacielos,
451795054,fr,Frappe antiaérienne,
451795054,it,Sferzata aerea,
451795054,ja,スカイクリア・スイング,
451795054,ko,스카이 클리어링 스윙,
451795054,pl,Rozpogadzający zamach,
451795054,pt_br,Golpe Limpa-Céu,
451795054,ru,Воздушный удар,
451795054,tr,Hava Süpürücü Saldırı,
451795054,zh_hans,开天斩,
451795054,zh_hant,晴空揮棒,
1223432054,de,Fliegenklatsche,
1223432054,es,Matamoscas,
1223432054,fr,Tapette à mouches,
1223432054,it,Scacciamosche,
1223432054,ja,ハエ叩き,
1223432054,ko,파리채,
1223432054,pl,Packa na muchy,
1223432054,pt_br,Mata-moscas,
1223432054,ru,Мухобойка,
1223432054,tr,Sineklik,
1223432054,zh_hans,拍蝇专家,
1223432054,zh_hant,蒼蠅拍,
239822813,de,Müheloser Schwinger,
239822813,es,Golpe sin esfuerzo,
239822813,fr,Frappe agile,
239822813,it,Colpo facile,
239822813,ja,イージースイング,
239822813,ko,거뜬한 스윙,
239822813,pl,Swobodny wymach,
239822813,pt_br,Golpes Tranquilos,
239822813,ru,Легкий замах,
239822813,tr,Kolay Vuruş,
239822813,zh_hans,轻松挥击,
239822813,zh_hant,輕鬆揮臂,
-1383736721,de,Mobil-Reparatur,
-1383736721,es,Reparación sobre la marcha,
-1383736721,fr,Réparation en course,
-1383736721,it,Riparazione in corsa,
-1383736721,ja,修理,
-1383736721,ko,질주 중 수리,
-1383736721,pl,Naprawa w biegu,
-1383736721,pt_br,Reparação Móvel,
-1383736721,ru,Ремонт на бегу,
-1383736721,tr,Koşarken Tamir,
-1383736721,zh_hans,奔跑修复,
-1383736721,zh_hant,移動式修復,
-1803869487,de,Schnellzugriff,
-1803869487,es,Desenfundado rápido,
-1803869487,fr,Dégaine rapide,
-1803869487,it,Fuori dal fodero,
-1803869487,ja,クイックドロー,
-1803869487,ko,빨리 뽑기,
-1803869487,pl,Szybkie dobycie,
-1803869487,pt_br,Saque Rápido,
-1803869487,ru,Моментальное извлечение,
-1803869487,tr,Hızlı Çekme,
-1803869487,zh_hans,快速拔枪,
-1803869487,zh_hant,速拔,
1762907913,de,Wie eine Schildkröte,
1762907913,es,Arrastre de tortuga,
1762907913,fr,Dernières forces,
1762907913,it,Passo di tartaruga,
1762907913,ja,亀這い,
1762907913,ko,엉금엉금 거북이,
1762907913,pl,Niczym żółw,
1762907913,pt_br,Rastejamento de Tartaruga,
1762907913,ru,Черепаший ползок,
1762907913,tr,Kaplumbağa Sürünmesi,
1762907913,zh_hans,伏地避弹,
1762907913,zh_hant,烏龜爬行,
1005334858,de,Einsatzbereite Waffen,
1005334858,es,Brazacos,
1005334858,fr,Gros bras,
1005334858,it,Braccia piene,
1005334858,ja,武器装填,
1005334858,ko,무기 장착 완료,
1005334858,pl,Paker,
1005334858,pt_br,Braços Fortes,
1005334858,ru,Заряженное оружие,
1005334858,tr,Dolu Kollar,
1005334858,zh_hans,武器减负,
1005334858,zh_hant,滿載軍火,
157122774,de,Wolke der Erneuerung,
157122774,es,Nube revitalizante,
157122774,fr,Nuage de régénération,
157122774,it,Nuvola del rinnovamento,
157122774,ja,再生の霧,
157122774,ko,치유의 연무,
157122774,pl,Chmura odnowy,
157122774,pt_br,Nuvem de Renovação,
157122774,ru,Облако обновления,
157122774,tr,Yenilenme Bulutu,
157122774,zh_hans,回复之云,
157122774,zh_hant,煥新煙霧,
-1292067623,de,Richtiges Atmen,
-1292067623,es,Respiración diafragmática,
-1292067623,fr,Respiration contrôlée,
-1292067623,it,Un bel respiro,
-1292067623,ja,正しい呼吸法,
-1292067623,ko,제대로 숨 고르기,
-1292067623,pl,Porządny oddech,
-1292067623,pt_br,Respiração Adequada,
-1292067623,ru,Правильное дыхание,
-1292067623,tr,Nizami Soluma,
-1292067623,zh_hans,吐息大法,
-1292067623,zh_hant,適當呼吸,
-541195755,de,Springer,
-541195755,es,Saltador,
-541195755,fr,Bondisseur,
-541195755,ja,リーパー,
-541195755,ko,리퍼,
-541195755,pl,Skoczek,
-541195755,pt_br,Saltador,
-541195755,ru,«Прыгун»,
-541195755,tr,Sıçrayıcı,
-541195755,zh_hans,“跳跃者”,
-541195755,zh_hant,跳躍者,
-1616729167,es,Bastión,
-1616729167,it,Bastione,
-1616729167,ja,バスティオン,
-1616729167,ko,바스티온,
-1616729167,pt_br,Baluarte,
-1616729167,ru,«Бастион»,
-1616729167,tr,Burç,
-1616729167,zh_hans,“堡垒”,
-1616729167,zh_hant,堡壘,
-1311527696,de,Kanonier,
-1311527696,es,Bombardero,
-1311527696,it,Bombardiere,
-1311527696,ja,ボンバルディア,
-1311527696,ko,봄바디어,
-1311527696,pt_br,Bombardeiro,
-1311527696,ru,«Бомбардир»,
-1311527696,tr,Bombardımancı,
-1311527696,zh_hans,“投弹手”,
-1311527696,zh_hant,投彈手,
-1524715377,de,Glühwürmchen,
-1524715377,es,Luciérnaga,
-1524715377,fr,Luciole,
-1524715377,it,Lucciola,
-1524715377,ja,ファイアフライ,
-1524715377,ko,파이어플라이,
-1524715377,pl,Świetlik,
-1524715377,pt_br,Vagalume,
-1524715377,ru,«Светлячок»,
-1524715377,tr,Ateşböceği,
-1524715377,zh_hans,“萤火虫”,
-1524715377,zh_hant,螢火蟲,
903845622,de,Raketenkanonier,
903845622,es,Cohetero,
903845622,fr,Artificier,
903845622,it,Lanciarazzi,
903845622,ja,ロケッティア,
903845622,ko,로켓티어,
903845622,pl,Rakietowiec,
903845622,pt_br,Fogueteiro,
903845622,ru,«Ракетчик»,
903845622,tr,Roketçi,
903845622,zh_hans,“火箭手”,
903845622,zh_hant,火箭兵,
1639912088,de,Verdampfer,
1639912088,es,Atomizador,
1639912088,fr,Vaporisateur,
1639912088,it,Vaporizzatore,
1639912088,ja,ヴェイパライザー,
1639912088,ko,베이퍼라이저,
1639912088,pl,Spopielacz,
1639912088,pt_br,Vaporizador,
1639912088,ru,«Испепелитель»,
1639912088,tr,Buharlaştırıcı,
1639912088,zh_hans,“汽化者”,
1639912088,zh_hant,雷射汽化兵,
664422097,de,Hornisse,
664422097,es,Avispón,
664422097,fr,Frelon,
664422097,it,Calabrone,
664422097,ja,ホーネット,
664422097,ko,호넷,
664422097,pl,Szerszeń,
664422097,pt_br,Marimbondo,
664422097,ru,«Шершень»,
664422097,tr,Yaban Arısı,
664422097,zh_hans,“马蜂”,
664422097,zh_hant,虎頭蜂,
672378114,de,Wespe,
672378114,es,Avispa,
672378114,fr,Guêpe,
672378114,it,Vespa,
672378114,ja,ワスプ,
672378114,ko,와스프,
672378114,pl,Osa,
672378114,pt_br,Vespa,
672378114,ru,«Оса»,
672378114,tr,Eşek Arısı,
672378114,zh_hans,“黄蜂”,
672378114,zh_hant,黃蜂,
-400146311,es,Turbina,
-400146311,it,Turbina,
-400146311,ja,タービン,
-400146311,ko,터빈,
-400146311,pl,Turbina,
-400146311,pt_br,Turbina,
-400146311,ru,«Турбина»,
-400146311,tr,Türbin,
-400146311,zh_hans,“涡轮”,
-400146311,zh_hant,渦輪機,
-1166795672,de,Königin,
-1166795672,es,Reina,
-1166795672,fr,Reine,
-1166795672,it,Regina,
-1166795672,ja,クイーン,
-1166795672,ko,퀸,
-1166795672,pl,Królowa,
-1166795672,pt_br,Rainha,
